tweet_id,author_id,created_at,text,gold_intent,gold_route,hand_intent,hand_route,history_volume,history_replied,history_reply_rate,history_sufficient
288034,184643,Wed Oct 11 09:37:29 +0000 2017,i have already write more than once without much help moreover status show i sign the receipt but i do not,appreciation,auto,delivery_issue,assist,2,2,1.0,False
233785,171655,Thu Oct 05 13:02:03 +0000 2017,track on canada post say deliver on the not update on amazon though,delivery_issue,auto,delivery_issue,assist,3,3,1.0,True
2078539,614743,Thu Nov 30 09:46:44 +0000 2017,estoy a tope con fear the walking dead facewithtearsofjoy facewithtearsofjoy tambien con grand tour y la serie de le man OKhand OKhand OKhand,customer_service,assist,other,assist,1,0,0.0,False
2302234,668109,Sun Nov 12 18:57:10 +0000 2017,two people have now tell me the refund have go through for the wrong amount i may add and that i have an email confirm this instant refund the email do not state it be complete a promise merely that it be be requested tradingstandards anyone i have screenshots,email_contact,auto,order_status,assist,5,2,0.4,True
1490808,466218,Fri Nov 03 09:11:02 +0000 2017,tire of talk not resolve yet poor service order no orderd oct,order_status,auto,order_status,assist,3,2,0.6666666666666666,True
1983560,587124,Wed Oct 18 18:21:46 +0000 2017,always frustrate when site make you get an email verification abroad but they expire before they arrive help lol,email_contact,assist,email_contact,assist,2,2,1.0,False
574928,255254,Sun Dec 03 15:16:03 +0000 2017,thanks lol i have yet to even receive an expected delivery date or shipping notification and i order day ago,order_status,assist,order_status,assist,1,0,0.0,False
1219174,400678,Wed Oct 25 15:05:13 +0000 2017,it be suppose to be deliver yesterday now it say between 2426th frowningface,delivery_issue,assist,delivery_issue,assist,1,1,1.0,False
2455253,703333,Wed Nov 15 05:08:51 +0000 2017,gr8 mahi grinningfacewithsmilingeyes grinningfacewithsmilingeyes,appreciation,auto,other,assist,1,1,1.0,False
1072550,373089,Mon Oct 23 16:53:38 +0000 2017,sorry do not return the stolen money to my account you fail to keep your promise and now your avoid me,customer_service,assist,order_status,assist,3,1,0.3333333333333333,True
757718,301082,Wed Oct 11 19:45:22 +0000 2017,do please resolve it as soon as possible schedule the pick up tmrw,appreciation,auto,order_status,assist,3,3,1.0,True
2346213,261125,Mon Nov 13 18:03:40 +0000 2017,if you do not why accept the return this be really very disappointing to say like this really pathetic of you have courier like then ask customer to self return you should check it before commit to customer,customer_service,assist,order_status,assist,10,6,0.6,True
665640,278568,Fri Nov 03 09:18:56 +0000 2017,i contact last night get told three different thing now i have get email to say delivery be attempt a lie and that it will arrive sun,email_contact,auto,delivery_issue,assist,9,5,0.5555555555555556,True
280148,182770,Fri Oct 06 10:07:34 +0000 2017,document because you choose to lock my account this be the reason why i have never use this service before epicfail,customer_service,auto,customer_service,assist,5,4,0.8,True
1843616,337892,Mon Nov 27 12:48:39 +0000 2017,please you do not feel bad about delay in delivery actually i realize that be my fault to shop with amazon so i have cancel all my pending order,order_status,auto,order_status,assist,5,5,1.0,True
714749,290971,Tue Oct 10 23:41:24 +0000 2017,that tell me it will not be deliver until friday which be not only way way way way too late but it be later than the initial date they give,delivery_issue,auto,delivery_issue,assist,9,8,0.8888888888888888,True
515270,238684,Sat Dec 02 00:52:26 +0000 2017,no problem thanks you for the reply just want to check since ups in my area be a bit hit or miss for deliver thing on time winkingface,appreciation,auto,delivery_issue,assist,1,0,0.0,False
1498542,467933,Fri Nov 03 13:16:12 +0000 2017,no but it should have be deliver on day of release which be today that be why i preordered it,delivery_issue,assist,delivery_issue,assist,4,2,0.5,True
962520,348393,Sat Oct 14 03:10:14 +0000 2017,help how do i set my echo dot up to xfinity hotspot,appreciation,auto,customer_service,auto,1,1,1.0,False
2883304,799907,Tue Nov 28 11:11:24 +0000 2017,on the contact option it say call me whereby i enter my phone number and receive a phone call from dublin which be not in the uk there be no apparent option to contact a customer service team over phone other than the one i have just mention,customer_service,auto,email_contact,assist,4,3,0.75,True
222687,169198,Thu Oct 05 04:26:59 +0000 2017,generally ups be the one we be most aware of they either deliver after the delivery time state on our order or deliver the next day,delivery_issue,assist,delivery_issue,auto,1,1,1.0,False
1229471,408372,Mon Oct 16 00:37:27 +0000 2017,prime now in sacramento not a thing right now no more delivery option for today,delivery_issue,assist,delivery_issue,assist,1,1,1.0,False
785125,307356,Thu Oct 12 08:36:19 +0000 2017,i have order cadbury to gift someone and want my product to deliver before oct but yet product be not ship which suppos on,order_status,auto,order_status,assist,7,5,0.7142857142857143,True
324244,193238,Sat Oct 07 18:10:00 +0000 2017,let me know how to take this forward a be a prime member i do not expect this from amazon,customer_service,assist,customer_service,assist,4,2,0.5,True
2184547,639853,Thu Nov 09 18:23:32 +0000 2017,but account security be currently my big concern,email_contact,assist,customer_service,assist,2,0,0.0,False
2619642,740261,Fri Nov 17 16:51:33 +0000 2017,i tweet my order number so surely you be able to look into it i pay for next day ship hop to get my order today the confirmation say it will arrive next week tuesday this be ridiculous,order_status,auto,order_status,assist,8,5,0.625,True
2355189,148408,Mon Nov 13 19:54:22 +0000 2017,yeah it be fake i do not read the fine print at the bottom of the emailwell shit,customer_service,assist,email_contact,assist,2,1,0.5,False
226339,170030,Wed Oct 04 04:51:29 +0000 2017,i will surely have to move consumer court now for the redresaal u guy be just sick,customer_service,assist,customer_service,assist,24,16,0.6666666666666666,True
1303634,319629,Mon Oct 16 16:40:58 +0000 2017,please help me in this matter,appreciation,auto,customer_service,assist,20,18,0.9,True
1305186,424986,Fri Oct 27 02:09:44 +0000 2017,yes it be suppose to arrive by and it be private message,email_contact,auto,delivery_issue,assist,3,3,1.0,True
93672,136305,Thu Nov 30 16:24:57 +0000 2017,it be because at this time of year amazon wait for the truck use to deliver package to the carrier to be as full a humanly possible before dispatch them that take precedence over honor prime delivery window they do not put that little fact in their cyber monday ad,delivery_issue,assist,delivery_issue,assist,2,1,0.5,False
374157,204704,Mon Oct 09 01:25:36 +0000 2017,may try the voice training,appreciation,auto,customer_service,assist,2,1,0.5,False
1100564,379658,Sat Nov 25 18:38:50 +0000 2017,share require detail please check,email_contact,auto,email_contact,assist,5,5,1.0,True
2171450,636883,Fri Nov 17 21:10:54 +0000 2017,it tell me that my order be confirm but when i check the site it show them a cancel and my card be not charge either,order_status,assist,order_status,assist,2,2,1.0,False
1570890,484260,Sat Nov 04 18:11:54 +0000 2017,this os my email id,email_contact,auto,email_contact,auto,8,6,0.75,True
779871,306221,Thu Oct 12 13:09:16 +0000 2017,all this after your mail and message and that stupid wrong number abt the delivery guy i can not seriously summon more patience now shame,email_contact,auto,delivery_issue,assist,10,8,0.8,True
1732078,523256,Tue Nov 07 12:24:06 +0000 2017,how do i call you can not login to my account and contacting you require me to login to my account,email_contact,assist,email_contact,assist,2,2,1.0,False
1449155,367348,Thu Nov 02 16:42:25 +0000 2017,how do i cancel my prime please say there be a problem when i click end trial,delivery_issue,assist,order_status,auto,6,4,0.6666666666666666,True
2400339,340085,Fri Oct 20 12:37:37 +0000 2017,at least have nice delivery mechanism never see their product arrive past the due date unlike,delivery_issue,auto,appreciation,auto,7,7,1.0,True
2526919,442366,Thu Nov 16 08:11:24 +0000 2017,i know order will be deliver i be ask can fast track the shipment a it be very near by,order_status,auto,order_status,assist,5,3,0.6,True
1302268,423689,Mon Oct 16 10:08:21 +0000 2017,this be the order no order i have recived the refund and the product be with me what to do with the product it mine,order_status,auto,order_status,assist,3,2,0.6666666666666666,True
2514674,716460,Mon Oct 30 09:04:44 +0000 2017,what about the loss i have suffer a a customer,customer_service,assist,customer_service,assist,4,1,0.25,False
1445305,455389,Mon Oct 16 19:28:05 +0000 2017,i sign up for audible and i pick a book and order but saw another book i want instead and cancel my order,order_status,auto,order_status,auto,3,3,1.0,True
959294,193706,Thu Oct 26 13:14:25 +0000 2017,then what the support ur give here without know anything,customer_service,assist,customer_service,assist,16,10,0.625,True
